"Dateiname";"Unternehmensname_given";"Ort_given";"Unternehmensname_infile";"Ort_infile";"Dokumentendatum";"Dokumententyp";"JA_von";"JA_bis";"Anzahl_MA";"Eigenkapital";"Bilanzsumme";"Bilanzgewinn/verlust";"EK-Quote";"Nicht gedeckter Fehlbetrag";"Umsatzerlöse";"Bilanz_Aktiva";"Bilanz_Passiva"
"12systems GmbH_07.12.2017.html";"12systems GmbH";" Bremen";"12systems GmbH";"Bremen";"07.12.2017";"Jahresabschluss";"01.01.2016";"31.12.2016";"Im Jahresdurchschnitt beschäftigte die Gesellschaft 14 Arbeitnehmer.";"184172.01";"425284.49";"-29608.07";"0.4330560232751493";"";"";"{'': '31.12.2016EUR', 'A. Anlagevermögen': 232296.0, 'I. Immaterielle Vermögensgegenstände': 43554.0, 'II. Sachanlagen': 188742.0, 'B. Umlaufvermögen': 188075.99, 'I. Vorräte': 31297.08, 'II. Forderungen und sonstige Vermögensgegenstände': 106719.7, 'III. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks': 50059.21, 'C. Rechnungsabgrenzungsposten': 4912.5, 'Bilanzsumme, Summe Aktiva': 425284.49}";"{'': '31.12.2016EUR', 'A. Eigenkapital': 184172.01, 'I. gezeichnetes Kapital': 25000.0, 'II. Gewinnvortrag': 177572.7, 'III. Bilanzverlust': 18400.69, 'B. Rückstellungen': 78096.3, 'C. Verbindlichkeiten': 163016.18, 'davon mit Restlaufzeit bis 1 Jahr': 123914.77, 'davon mit einer Restlaufzeit von mehr als einem Jahr': 39101.41, 'Bilanzsumme, Summe Passiva': 425284.49}"
"12systems GmbH_08.01.2020.html";"12systems GmbH";" Bremen";"12systems GmbH";"Bremen";"08.01.2020";"Jahresabschluss";"01.01.2018";"31.12.2018";"Im Jahresdurchschnitt beschäftigte die Gesellschaft 15 Arbeitnehmer.";"175712.93";"393806.22";"-52270.98";"0.44619135269117893";"";"";"{'A. Anlagevermögen': 265141.0, 'B. Umlaufvermögen': 122477.5, 'C. Rechnungsabgrenzungsposten': 6187.72, 'Bilanzsumme, Summe Aktiva': 393806.22}";"{'A. Eigenkapital': 175712.93, 'B. Rückstellungen': 90247.9, 'C. Verbindlichkeiten': 127845.39, 'Bilanzsumme, Summe Passiva': 393806.22}"
"12systems GmbH_15.02.2019.html";"12systems GmbH";" Bremen";"12systems GmbH";"Bremen";"15.02.2019";"Jahresabschluss";"01.01.2017";"31.12.2017";"Im Jahresdurchschnitt beschäftigte die Gesellschaft 14 Arbeitnehmer.";"167853.4";"446077.2";"20792.71";"0.3762877815768212";"";"";"{'A. Anlagevermögen': 273183.0, 'I. Immaterielle Vermögensgegenstände': 77570.0, 'II. Sachanlagen': 195613.0, 'B. Umlaufvermögen': 164461.34, 'I. Vorräte': 15000.0, 'II. Forderungen und sonstige Vermögensgegenstände': 122546.85, 'III. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks': 26914.49, 'C. Rechnungsabgrenzungsposten': 8432.86, 'Bilanzsumme, Summe Aktiva': 446077.2}";"{'A. Eigenkapital': 167853.4, 'B. Rückstellungen': 72562.17, 'C. Verbindlichkeiten': 205661.63, 'Bilanzsumme, Summe Passiva': 446077.2}"
"12systems GmbH_21.03.2017.html";"12systems GmbH";" Bremen";"12systems GmbH";"Bremen";"21.03.2017";"Jahresabschluss";"01.01.2015";"31.12.2015";"";"202572.7";"454892.56";"23417.74";"0.44531987948978546";"";"";"{'A. Anlagevermögen': 163610.0, 'I. Immaterielle Vermögensgegenstände': 14913.0, 'II. Sachanlagen': 148697.0, 'B. Umlaufvermögen': 290782.56, 'I. Vorräte': 46148.57, 'II. Forderungen und sonstige Vermögensgegenstände': 78448.11, 'III. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks': 166185.88, 'C. Rechnungsabgrenzungsposten': 500.0, 'Bilanzsumme, Summe Aktiva': 454892.56}";"{'A. Eigenkapital': 202572.7, 'I. gezeichnetes Kapital': 25000.0, 'II. Gewinnvortrag': 156886.69, 'III. Bilanzgewinn': 20686.01, 'B. Rückstellungen': 41554.8, 'C. Verbindlichkeiten': 174115.65, 'davon mit Restlaufzeit bis 1 Jahr': 114892.24, 'D. Passive latente Steuern': 36649.41, 'Bilanzsumme, Summe Passiva': 454892.56}"
"12systems GmbH_28.04.2016.html";"12systems GmbH";" Bremen";"12systems GmbH";"Bremen";"28.04.2016";"Jahresabschluss";"01.01.2014";"31.12.2014";"";"181886.69";"431474.82";"188226.52";"0.42154647633899006";"";"";"{'A. Anlagevermögen': 100659.0, 'I. Immaterielle Vermögensgegenstände': 16818.0, 'II. Sachanlagen': 83841.0, 'B. Umlaufvermögen': 330315.82, 'I. Vorräte': 17397.21, 'II. Forderungen und sonstige Vermögensgegenstände': 112628.64, 'III. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks': 200289.97, 'C. Rechnungsabgrenzungsposten': 500.0, 'Bilanzsumme, Summe Aktiva': 431474.82}";"{'A. Eigenkapital': 181886.69, 'I. gezeichnetes Kapital': 25000.0, 'II. Gewinnvortrag': 57547.08, 'III. Jahresüberschuss/-fehlbetrag': 0.0, 'IV. Bilanzgewinn': 99339.61, 'B. Rückstellungen': 35895.31, 'C. Verbindlichkeiten': 186965.75, 'davon mit Restlaufzeit bis 1 Jahr': 108456.15, 'D. Passive latente Steuern': 26727.07, 'Bilanzsumme, Summe Passiva': 431474.82}"
"1blick GmbH_01.07.2020.html";"1blick GmbH";" Heidelberg";"HYPOPORT SE (vormals: HYPOPORT AG)";"Lübeck";"01.07.2020";"Ergänzung der Veröffentlichung";"01.01.2019";"31.12.2019";"";"";"";"";"";"";"";"";""
"1blick GmbH_02.01.2015.html";"1blick GmbH";" Heidelberg";"1blick GmbH";"Heidelberg";"02.01.2015";"Jahresabschluss";"01.01.2013";"31.12.2013";"";"-0.0";"4415562.31";"1012581.62";"-0.7120053595167135";"3143904.03";"";"{'A. Anlagevermögen': 1203887.61, 'I. Immaterielle Vermögensgegenstände': 1193879.85, 'II. Sachanlagen': 10007.76, 'B. Umlaufvermögen': 60577.02, 'I. Forderungen und sonstige Vermögensgegenstände': 56461.91, 'II. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks': 4115.11, 'C. Rechnungsabgrenzungsposten': 7193.65, 'D. nicht durch Eigenkapital gedeckter Fehlbetrag': 3143904.03, 'Bilanzsumme, Summe Aktiva': 4415562.31}";"{'A. Eigenkapital': 0.0, 'I. gezeichnetes Kapital': 50000.0, 'II. Verlustvortrag': 1910001.55, 'III. Jahresfehlbetrag': 1283902.48, 'IV. nicht gedeckter Fehlbetrag': 3143904.03, 'B. Rückstellungen': 33040.0, 'C. Verbindlichkeiten': 4381878.38, 'davon mit Restlaufzeit bis 1 Jahr': 4381878.38, 'D. Rechnungsabgrenzungsposten': 643.93, 'Bilanzsumme, Summe Passiva': 4415562.31}"
"1blick GmbH_14.01.2016.html";"1blick GmbH";" Heidelberg";"1blick GmbH";"Heidelberg";"14.01.2016";"Jahresabschluss";"01.01.2014";"31.12.2014";"";"0.0";"4883549.86";"467987.55";"-0.8167674118924629";"3988724.38";"";"{'': '31.12.2014EUR', 'A. Anlagevermögen': 872071.08, 'I. Immaterielle Vermögensgegenstände': 868080.35, 'II. Sachanlagen': 3990.73, 'B. Umlaufvermögen': 18404.1, 'I. Forderungen und sonstige Vermögensgegenstände': 17471.36, 'II. Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks': 932.74, 'C. Rechnungsabgrenzungsposten': 4350.3, 'D. nicht durch Eigenkapital gedeckter Fehlbetrag': 3988724.38, 'Bilanzsumme, Summe Aktiva': 4883549.86}";"{'': '31.12.2014EUR', 'A. Eigenkapital': 0.0, 'I. gezeichnetes Kapital': 50000.0, 'II. Verlustvortrag': 3193904.03, 'III. Jahresfehlbetrag': 844820.35, 'IV. nicht gedeckter Fehlbetrag': 3988724.38, 'B. Rückstellungen': 31830.7, 'C. Verbindlichkeiten': 4851719.16, 'D. Rechnungsabgrenzungsposten': 0.0, 'Bilanzsumme, Summe Passiva': 4883549.86}"
"1cc GmbH_09.07.2020.html";"1cc GmbH";" Holzgerlingen";"1cc GmbH";"Holzgerlingen";"09.07.2020";"Jahresabschluss";"01.02.2018";"31.12.2018";"Mitarbeiter";"255242.03";"1126860.9";"172218.95";"0.2265071314480785";"";"";"{'': '', 'A. Anlagevermögen': '', 'I. Immaterielle Vermögensgegenstände': '', 'II. Sachanlagen': '', 'III. Finanzanlagen': '', 'B. Umlaufvermögen': '', 'I. Forderungen und sonstige Vermögensgegenstände': '', 'II. Kassenbestand und Guthaben bei Kreditinstituten': '', 'C. Rechnungsabgrenzungsposten': ''}";"{'': '', 'A. Eigenkapital': '', 'I. Gezeichnetes Kapital': 25000.0, 'II. Kapitalrücklage': 25000.0, 'III. Gewinnvortrag': 78941.56, 'IV. Jahresüberschuss': 126300.47, 'B. Rückstellungen': '', 'C. Verbindlichkeiten': '', 'D. Rechnungsabgrenzungsposten': ''}"
"1cc GmbH_13.07.2018.html";"1cc GmbH";" Holzgerlingen";"1cc GmbH";"Holzgerlingen";"13.07.2018";"Jahresabschluss";"01.02.2017";"31.01.2018";"Mitarbeiter";"228941.56";"954641.95";"-36908.64";"0.2398192956008271";"";"";"{'': 'EUR', 'A. Anlagevermögen': 53818.09, 'I. Immaterielle Vermögensgegenstände': 163.0, 'II. Sachanlagen': 5132.0, 'III. Finanzanlagen': 48523.09, 'B. Umlaufvermögen': 875802.25, 'I. Forderungen und sonstige Vermögensgegenstände': 777220.64, 'II. Kassenbestand und Guthaben bei Kreditinstituten': 98581.61, 'C. Rechnungsabgrenzungsposten': 25021.61, 'Summe Aktiva': 954641.95}";"{'': 'EUR', 'A. Eigenkapital': 228941.56, 'I. Gezeichnetes Kapital': 25000.0, 'II. Kapitalrücklage': 25000.0, 'III. Gewinnvortrag': 23104.69, 'IV. Jahresüberschuss': 155836.87, 'B. Rückstellungen': 433434.56, 'C. Verbindlichkeiten': 270361.83, 'D. Rechnungsabgrenzungsposten': 21904.0, 'Summe Passiva': 954641.95}"
