,Unternehmen,Insolvent,In dnb,Mitarbeiter,Umsatz,Datum,ReviewRating,Anstellung,Bereich,ReviewTitel,Was macht dein Arbeitgeber in Corona-Zeiten gut?,Was macht dein Arbeitgeber in Corona-Zeiten nicht gut?,Was sollte dein Unternehmen in Corona-Zeiten (anders) machen?,Wofür möchtest du deinen Arbeitgeber im Umgang mit der Corona-Situation loben?,Was macht dein Arbeitgeber im Umgang mit der Corona-Situation nicht gut?,Wo siehst du Chancen für deinen Arbeitgeber mit der Corona-Situation besser umzugehen?,Wie kann dich dein Arbeitgeber im Umgang mit der Corona-Situation noch besser unterstützen?,Gut am Arbeitgeber finde ich,Schlecht am Arbeitgeber finde ich,Verbesserungsvorschläge,Arbeitsatmosphäre_s,Arbeitsatmosphäre,Image_s,Image,Work-Life-Balance_s,Work-Life-Balance,Karriere/Weiterbildung_s,Karriere/Weiterbildung,Gehalt/Sozialleistungen_s,Gehalt/Sozialleistungen,Umwelt-/Sozialbewusstsein_s,Umwelt-/Sozialbewusstsein,Kollegenzusammenhalt_s,Kollegenzusammenhalt,Umgang mit älteren Kollegen_s,Umgang mit älteren Kollegen,Vorgesetztenverhalten_s,Vorgesetztenverhalten,Arbeitsbedingungen_s,Arbeitsbedingungen,Kommunikation_s,Kommunikation,Gleichberechtigung_s,Gleichberechtigung,Interessante Aufgaben_s,Interessante Aufgaben
0,wildstyle network GmbH,Nein,Ja,28,3.18,2020-04-01T00:00:00+00:00,"4,6",Angestellte/r oder Arbeiter/in,Marketing / Produktmanagement,"Tolles Team, spannende Projekte auf internationalem Level, flache Hierarchien mit einer Kommunikation auf Augenhöhe",,,,Ich muss keine Angst haben plötzlich kein Geld oder weniger Geld zu verdienen da wir Projekte auch aus dem Home Office reibungslos umsetzen können. Zudem finden wir immer eine gute und flexible Lösung im Hinblick auf Kinderbetreuung und Arbeit. Das Verständnis dazu gibt es von allen Mitarbeiten als auch von der Geschäftsführung.,,,"Wildstyle ist mit einem Krisenplan bestens vorbereitet auf so eine Krise. Wir können wie gewohnt weiter arbeiten- nur aus dem Homeoffice, was aber generell auch in der Unternehmenskultur etabliert ist.",,,,5.0,,5.0,,5.0,,4.0,,4.0,,5.0,,5.0,,5.0,,4.0,,4.0,,4.0,,5.0,,5.0,
1,wildstyle network GmbH,Nein,Ja,28,3.18,2020-04-01T00:00:00+00:00,"4,8",Angestellte/r oder Arbeiter/in,,Tolles Team. Vielfalt. Kreativität. Spaß.,,,,"Wildstyle war schon auf die Corona-Situation vorbereitet BEVOR es Anweisungen gab oder die Schulen/Kitas geschlossen wurden. Es wurde ein konkreter Plan für verschiedene Szenarien erstellt und dieser auch transparent kommuniziert. Home Office wird positiv unterstützt. Management hat einzelnen Mitarbeitern auf Wunsch sogar Monitore etc zu Hause vorbei gebracht.Wildstyle zeigt außerdem ein Interesse an dem well-being seiner Mitarbeiter während dieser schwierigen Zeit. Es wurden Möglichkeiten eingerichtet, wo man sich austauschen kann und somit auch die sozialen (Kollegen)Beziehungen aufrecht erhält.",,Siehe oben. Alles top.,Ich fühle mich bestens unterstützt.,,,,5.0,Es macht Spaß auf Arbeit zu kommen.,4.0,,5.0,,4.0,,4.0,,5.0,"Sehr wichtig für Wildstyle und die Geschäftsführung. Viele Maßnahmen für ein ""grüneres"" Büro wurden bereits umgesetzt und andere sind in Planung. Auch zeigt Wildstyle ein Herz für viele unterschiedliche soziale Themen.",5.0,Könnte nicht besser sein.,5.0,Wir sind jedoch ein sehr junges dynamisches Team.,5.0,,5.0,,5.0,,5.0,,5.0,Arbeit mit/für unterschiedlichen internationale Brands
2,wildstyle network GmbH,Nein,Ja,28,3.18,2019-04-09T00:00:00+00:00,"2,5",Angestellte/r oder Arbeiter/in,Marketing / Produktmanagement,"""Fancy sein"" macht nicht glücklich...",,,,,,,,,"- Tatsächliche ""Aufstiegschancen"" bieten: Mitarbeiter, die schon jahrelang dabei sind hängen immer noch in ihren ""alten Positionen"" fest und jede Gehaltsverhandlung endet in einer großen Enttäuschung- Auf den ersten Blick sind alle ""eine große Familie"", schaut man genauer hin, wird schnell klar, dass die harmonische Loftfassade bröckelt, denn hier wird ordentlich gelästert und getuschelt- Transparenz wird in rhetorisch-fancy Worte gepackt, die im Grunde nichts als leere Luft sind, denn es wird nur das ""transparent"" gemacht, wovon sich ein Nutzen erhofft wird",,2.0,"Wem ein schickes Loft und eine moderne Küche reicht, um glücklich zu sein, sollte sich hier wohlfühlen. Wer sich auch für das ""Dahinter"" interessiert, der sollte lieber genauer hinsehen...Klar, die Agenturbranche ist dafür bekannt, dass Mitarbeiter Kommen und Gehen, bei WSN ist es allerdings extrem, besonders im Design-Bereich.",,,4.0,,1.0,,2.0,,3.0,,3.0,,,,1.0,,3.0,,3.0,,2.0,,3.0,
3,wildstyle network GmbH,Nein,Ja,28,3.18,2018-10-26T00:00:00+00:00,"4,8",Ex-Praktikant/in,Marketing / Produktmanagement,Stay Wild,,,,,,,,Dass alle Neuen offen aufgenommen werden und sofort ins Team geolt werden. Also sofort gefordert sind. Das gibt einem das Gefühl gebraucht zu werden.,,,5.0,"Mega cooles Loft, mit noch viel cooleren Insassen darin .)",5.0,Ich finde sogar dass es noch schöner und interressanter ist als auf der Website beschrieben.,5.0,,4.0,Ich habe wahnsinnig viel dazugelernt und dafür bin ich sehr dankbar.,,,5.0,"Grüne Wand, Kaffeebohnen von der Kaffeerösterei Dresden (locally)",5.0,"Natürlich läuft nicht immer alles rund, aber bei Wildstyle hat man das Gefühl sofort mit dazuzugehören.",5.0,,5.0,Meine Vorgesetzte hat mir viel zugetraut und mir all meine gefühlt zehntausend Fragen sofort beantwortet. Nochmal DANKE,5.0,,4.0,offene Gespräche sind immer und überall möglich,5.0,,5.0,Ich durfte in viele verschiedene Bereiche hineinschnuppern.
4,wildstyle network GmbH,Nein,Ja,28,3.18,2018-05-23T00:00:00+00:00,"4,3",Angestellte/r oder Arbeiter/in,PR / Kommunikation,Anspruchsvolle Aufgaben in einer innovativen Agentur,,,,,,,,Viel Eigenverantwortung und Raum für Selbstverwirklichung. Viele Chancen – man muss sie nur greifen.,,- mehr Weiterbildungsmöglichkeiten,5.0,"Mit den Blick auf mehr als zehn Jahren Agenturerfahrung ist die Arbeitsatmosphäre bei Wildstyle Network wirklich sehr entspannt – auf allen Ebenen. Vertrauen, Offenheit und Transparenz sind hier keine Floskeln, sondern werden wirklich gelebt, auch von der Geschäftsführung.",4.0,,4.0,"9-Plus-Stunden-Arbeitstage sind hier eher die Ausnahme als die Regel, ebenso Arbeit am Wochenende oder an Feiertagen. Wer doch mal an die magische ""Es wird gerade zu viel""-Grenze kommt, kann das gegenüber der Geschäftsführung offen ansprechen. Dann wird gemeinsam nach einer Lösung gesucht. Home-Office und flexible Arbeitszeiten sind ebenfalls kein Problem.",4.0,,4.0,,4.0,"Der Geschäftsführung liegen die Themen Umweltbewusstsein und Soziales sehr am Herzen, leben es auch selbst vor.",4.0,Meist ehrlich und direkt – vor ausgefahrenen Ellenbogen braucht man sich hier jedenfalls nicht fürchten.,4.0,,5.0,"Der Umgang mit Vorgesetzten ist sehr entspannt, offen und ehrlich. Eigene Ideen und Vorschläge sind immer willkommen und auch ausdrücklich gewünscht.",4.0,,4.0,,5.0,,5.0,"Eine international agierende Agentur mit einem internationalem Team mit vielen unterschiedlichen Expertisen und Fachwissen – eine inspirierende Konstellation, die das tägliche Arbeiten bei Wildstyle Network wirklich spannend macht und immer wieder Abwechslung bringt."
5,wildstyle network GmbH,Nein,Ja,28,3.18,2018-05-16T00:00:00+00:00,"4,7",Angestellte/r oder Arbeiter/in,,"viel gelernt, kreatives Team, hohe Herausforderungen",,,,,,,,"Transparenz gegenüber Mitarbeitern was Umsatz und Investitionen betrifft, flache Hierarchien, Entwicklungsmöglichkeiten, herausfordernde internationale Aufgaben, viel Englisch im Job, smarte Teammitglieder",,"mehr Sauerstoff, weniger Heizungsluft.",5.0,,4.0,,4.0,"Familiengeld, Kindergartenzuschuss, Überstundenabbau. Aber Krativagentur bedeutet auch zu Spitzenzeiten mehr arbeiten zu müssen, kein Gruppenzwang sondern Teamzusammenhalt",4.0,,5.0,,5.0,,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,5.0,
6,wildstyle network GmbH,Nein,Ja,28,3.18,2018-05-06T00:00:00+00:00,"3,6",Ex-Angestellte/r oder Arbeiter/in,PR / Kommunikation,"Agentur mit großem internationalen, aber häufig nicht genutzten, Potential",,,,,,,,"Gleitzeit, schönes Loft, Küche, gratis Getränke","Schlechte Bezahlung, keine Gleichberechtigung, zu viele gute Mitarbeiter gehen","Wertschätzung, Team building, Mitarbeitergespräche, Lohn Anpassungen, den Mitarbeiter vor dem Kunden stellen",3.0,Wie in jeder Agentur gibt es hier auch Auf und Abs. Leider sind die Streß Phasen extrem lang und flachen nur selten auf ein ausgewogenes Work-Life-Verhältnis ab.,3.0,,3.0,"Wer den kleinen Finger gibt, muss mit dem Verlust seines Arms rechnen. Einfach standhaft bleiben, dann bleibt eine 45 Stunden Woche auch eine 45 Stunden Woche.",5.0,"Einige Mitarbeiter werden auf Messen oder Workshops geschickt. Wer Interesse zeigt, wird gefördert.",2.0,"Zu unterschiedlich als das man es verstehen kann. Wer guten Connections hat, verdient automatisch unglaublich viel mehr.",2.0,"Heizung läuft auch bei offenem Fenster, keine Mülltrennung, Papierhandtücher, Licht wird manchmal nicht ausgemacht über Nacht etc.",4.0,Grüppchenbildung aus den einzelnen Abteilungen. Jedoch entwickeln sich hier viele ernste Freundschaften. Gelästert und Getuschelt wird trotzdem ganz viel. Geheim bleibt hier nicht lange etwas.,5.0,,3.0,"Es gibt insgesamt Drei. Jeder hat unterschiedliche Auffassungen und Weisungsbefugnisse. Für berufliche Belangen wie Projekte schnell erreichbar, wenn es aber um Weiterentwicklung geht oder Vertragliches leider nicht.",5.0,,4.0,"Es werden regelmäßig Weekly Meetings abgehalten und Mitarbeiter werden umfassend in Emails über Neuerungen informiert. Leider häufig erst kurz vor knapp. Außerdem werden interne Meetingkulturen, wie pünktliches Anfangen etc., nur selten gelebt.",3.0,"Extrem unterschiedliches Gehaltsgefüge, viele unterschiedliche Freiheiten etc.",5.0,
7,wildstyle network GmbH,Nein,Ja,28,3.18,2017-03-10T00:00:00+00:00,"4,4",Angestellte/r oder Arbeiter/in,,Mehr drin als Du denkst,,,,,,,,"Internationales, innovatives Umfeld mit viel Eigenverantwortung und Raum für Möglichkeiten.",Zu wenig Zeit für Kommunikation.,,5.0,"Ein Team aus jungen und jung gebliebenen Kollegen mit Expertise und Begeisterung bewegen jede kreative Vorstellung nach vorn. Das Digital Lab unterstützt dabei Projekt-Teams mit technischer Innovation und auch mal ""Spielereien"" zum Testen und Ausprobieren. Es gibt immer neue technologische Herausforderungen zu lösen und zu entwickeln, wodurch man seine eigenen Skillz weiterentwickeln kann und keinen eintönigen Alltag hat. Teams setzen sich projektbedingt über alle Abteilungen hinweg individuell zusammen.",4.0,,4.0,"Wildstyle bringt sehr viel Verständnis für die unterscheidlichsten privaten Vorhaben auf. Durch die flexible Arbeitszeit und die Home Office Möglichkeit, können private Angelegenheiten sehr gut gehandelt werden ohne großartig zu diskutieren. Nur in seltenen Fällen (wenn ein Projekt es erfordert), wird dem Wunsch nicht nachgegeben.Ob man viele Überstunden macht oder pünktlich geht, hängt von jedem selbst ab. Rahmen stecken, die eigenen Ziele definieren und kommunizieren,dann gibt es keine Probleme.",5.0,"Sinnvolle Weiterbildungen werden finanziert. Jedem steht dies zu. Die meiste Zeit lernt man in seinen Projekten, da diese überwiegend sehr anspruchsvoll sind.",4.0,"Das Gehalt richtet sich grundlegend nach dem lokalen Marktwert des jeweiligen Jobs, Position und Spezialisierung. Alles weitere ist dann individuell verhandelbar und sehr auf die eigenen Umstände abgestimmt.",5.0,,4.0,"Die Teams arbeiten eng zusammen, ziehen an einem Strang und niemand bleibt auf der Strecke. Die Arbeit macht so sehr viel Spaß, denn es hackt keiner dem anderen ein Auge aus. Wildstyle bietet hierzu auch Weiterbildungen an (welche auch sehr breit genutzt werden), um den persönlichen Charakter zu stärken und Kommunikation untereinander zu verbessern. Ein mal im Jahr findet das sog. ""Kribbeln"" statt, bei welchem alle Wildstyler an einem Wochende zusammen Zeit verbringen (Ort ist immer ein Geheimnis).",5.0,"Es gibt ein paar 40+, und? Kein Thema bei Wildstyle. Jeder ist so alt wie er sich fühlt.",5.0,"Entscheidungen werden selten allein getroffen. Zudem sind sie fundiert und transparent. Man kann jederzeit ein vertrauensvolles Gespräch führen obgleich es um ein Projekt, eine neue Idee, eigene Weiterentwicklung oder Privates geht. Bei Problemen wird immer offen und ehrlich geholfen. Lieber einen Fehler zugestehen und zusammen ausbügeln, als ihn zu verheimlichen. Das ist die Philosophie. Wo es Austiegschancen gibt, gibt es auch Hirarchie. Diese ist allerdings in der Zusammenarbeit kaum spürbar und flach gehalten.",4.0,"Das Wildstyle Head Quarter ist in einem Loft im Industriegelände angesiedelt. Es ist ein Großraumbüro mit hohen Wänden und kreativen Besprechnungsräumen. Da jeder jeden sieht und hört, wird das Arbeits teils zum Erlebnis und lenkt ab. Im Gegenzug bringt es aber ein gemeinschaftliches Gefühl und fördert die Kommunikation und Kreativität. Ich jedenfalls würde nicht wieder in mein 3-Mann Standardbürozimmer zurück wollen!Die Technik ist gut bis sehr gut. Vor allem Software Dienste werden selbst gehosted, betreut und den Wünschen nach angepasst.Je nach Meetings oder Aufgabe kann jederzeit im Home Office oder Cafe gearbeitet werden. Das wird sehr locker gesehen.",3.0,"Insgesamt ist die Kommunikation innerhalb der Teams gut. Innerhalb von Wildstyle zu allegmeinen Themen gibt es ""State Of The Nation"" Meetings, wo Unternehmensziele, -werte und -gewinne nahezu transparent präsentiert werden.Abzug in dieser Kategorie gibt es, da hier zu wenig Zeit zur Verfügung steht und mehr gemacht werden könnte.",5.0,,4.0,"Wie in der Agenturwelt üblich sind Überstunden je nach Projekt normal. Wichtig hierbei ist nur, ob es Zeiträume gibt, die Stunden individuell abzufeiern,und die gibt es. Bei dauerhafter Belastung werden neue Leute gesucht und eingestellt, auch wenn das natürlich ab und an ein längerer Prozess sein kann.Die Aufgabengebiete selbst sind sehr flexibel gestaltet. Abgesehen von der jeweiligen Spezialisierung gibt es viele kleine Projekte (z.B. von der Forschungsabteilung) die Abwechslung bringen. Über zu verwendende Technologie kann immer diskutiert werden um evtl. auch mal einen neuen Ansatz auszuloten.Durch den Kundenstamm von Wildstyle sind die Aufgaben naturgemäß innovativ, herausforderend und interessant."
8,wildstyle network GmbH,Nein,Ja,28,3.18,2017-02-01T00:00:00+00:00,"4,2",Angestellte/r oder Arbeiter/in,,Spannende Projekte und für Agenturverhältnisse super Arbeitsumfeld,,,,,,,,"Junge agile Agentur, tolles Team und spannende Aufgaben, Wertschätzung untereinander und für Agenturverhältnisse wirklich gute Arbeitsumgebung (Gleitzeit, Überstundenausgleich etc.). Habe mich im Dresdner Umfeld bewusst für diese und nicht für andere Agenturen entschieden und liege noch immer richtig mit der Entscheidung.","Wie in vielen Agenturen braucht auch hier die interne Kommunikation noch mehr Power, Struktur und Konsistenz. Außerdem fallen manchmal wichtige HR Aufgaben durch zu knappe Ressourcen hinten runter,was zu Frustration führt. Zeitweise Projektspitzen lassen sich meiner Meinung nach auch in anderen Agenturen nicht vermeiden,ist aber durch möglichen Ausgleich auch ok.","Schulungen der Teamleads, für mehr Identifikation mit der Firma sorgen (eben durch Teamleads, die das vorleben), HR als wichtige Säule etablieren.",5.0,,3.0,"Agentur ist Agentur,da muss man sich nichts vormachen. Aber im Dresdner Raum für mich das spannendste Arbeitsumfeld",4.0,,3.0,,4.0,,4.0,,5.0,,5.0,,4.0,,4.0,,3.0,,5.0,,5.0,
9,wildstyle network GmbH,Nein,Ja,28,3.18,2017-01-26T00:00:00+00:00,"4,1",Ex-Angestellte/r oder Arbeiter/in,IT,"Stylische Agentur mit anspruchsvollen Aufgaben und entspannter, lockerer Arbeitsatmosphäre",,,,,,,,"Offene, ehrliche und entspannte Zusammenarbeit. Internationale Ausrichtung und viele Möglichkeiten auf Weiterentwicklung und die eigene Aufgabengestaltung. Hohes Mitspracherecht und Übernahme von Eigenverantwortung durch anspruchsvolle Aufgaben.",Teilweise Kommunikationsprobleme innerhalb sowie zwischen den einzelnen Abteilungen,,4.0,"Die Arbeitsatmosphäre ist entspannt und es herrscht ein sehr offener und freundlicher Umgang unter den Mitarbeitern sowie mit den Vorgesetzten. Gemeinsame Mittagsrunden, Ausflüge und Feiern lockern die Stimmung zusätzlich auf und schweißen zusammen.",5.0,,4.0,,,,4.0,,4.0,,4.0,Generell herrscht bei Wildstyle ein sehr großer Zusammenhalt zwischen den Kollegen und ein starkes Team-Gefühl. Speziell in der IT kann hier noch mehr für die Kommunikation und das Zusammengehörigkeitsgefühl gemacht werden.,,,4.0,Die Vorgesetzten sind den Mitarbeitern gegenüber sehr fair und nehmen Rücksicht auf persönliche Belange und Befinden. Die Hierarchie ist flach gehalten und der Umgang mit den Vorgesetzten dementsprechend locker. Dennoch übernehmen sie Verantwortung und schützen ihre Mitarbeiter wenn es erforderlich ist.,4.0,,3.0,"Die Kommunikation in der IT ist gut, teilweise aber noch unstrukturiert (Unregelmäßigkeiten bei Meetings, Absprachen,...). Die Vorgesetzten könnten sich autoritärer verhalten um eine klarere Struktur und feste Abläufe zu schaffen.",5.0,,4.0,"Wer selber aktiv wird kann durchaus Einfluß auf seine Aufgabengebiete nehmen. Wichtig ist, dass man selbst die Initiative ergreift und klare Wünsche äußert,dann wird man vielseitig unterstützt."
